_time,value_indoor,value_outdoor,forecast
2025-03-07 17:20:30+00:00,18.6,13.0,
2025-03-07 17:21:00+00:00,18.599999999999998,13.0,
2025-03-07 17:21:30+00:00,18.650000000000002,13.0,
2025-03-07 17:22:00+00:00,18.68,13.0,
2025-03-07 17:22:30+00:00,18.7,13.0,
2025-03-07 17:23:00+00:00,18.7,13.0,
2025-03-07 17:23:30+00:00,18.716666666666665,13.0,
2025-03-07 17:24:00+00:00,18.8,12.983333333333334,
2025-03-07 17:24:30+00:00,18.8,13.0,
2025-03-07 17:25:00+00:00,18.8,13.0,
2025-03-07 17:25:30+00:00,18.82,13.0,
2025-03-07 17:26:00+00:00,18.900000000000002,12.950000000000001,
2025-03-07 17:26:30+00:00,18.900000000000002,12.933333333333335,
2025-03-07 17:27:00+00:00,18.900000000000002,12.9,
2025-03-07 17:27:30+00:00,18.916666666666668,12.9,
2025-03-07 17:28:00+00:00,19.0,12.9,
2025-03-07 17:28:30+00:00,19.0,12.9,
2025-03-07 17:29:00+00:00,19.0,12.9,
2025-03-07 17:29:30+00:00,19.0,12.9,
2025-03-07 17:30:00+00:00,19.0,12.9,
2025-03-07 17:30:30+00:00,19.0,12.9,
2025-03-07 17:31:00+00:00,19.03333333333333,12.833333333333334,
2025-03-07 17:31:30+00:00,19.1,12.819999999999999,
2025-03-07 17:32:00+00:00,19.099999999999998,12.799999999999999,
2025-03-07 17:32:30+00:00,19.099999999999998,12.799999999999999,
2025-03-07 17:33:00+00:00,19.099999999999998,12.799999999999999,
2025-03-07 17:33:30+00:00,19.099999999999998,12.799999999999999,
2025-03-07 17:34:00+00:00,19.099999999999998,12.799999999999999,
2025-03-07 17:34:30+00:00,19.099999999999998,12.799999999999999,
2025-03-07 17:35:00+00:00,19.2,12.8,
2025-03-07 17:35:30+00:00,19.2,12.783333333333333,
2025-03-07 17:36:00+00:00,19.2,12.783333333333333,
2025-03-07 17:36:30+00:00,19.2,12.766666666666666,
2025-03-07 17:37:00+00:00,19.2,12.733333333333333,
2025-03-07 17:37:30+00:00,19.216666666666665,12.716666666666667,
2025-03-07 17:38:00+00:00,19.28333333333333,12.700000000000001,
2025-03-07 17:38:30+00:00,19.3,12.700000000000001,
2025-03-07 17:39:00+00:00,19.3,12.7,
2025-03-07 17:39:30+00:00,19.3,12.700000000000001,
2025-03-07 17:40:00+00:00,19.3,12.700000000000001,
2025-03-07 17:40:30+00:00,19.3,12.700000000000001,
2025-03-07 17:41:00+00:00,19.3,12.65,
2025-03-07 17:41:30+00:00,19.3,12.616666666666667,
2025-03-07 17:42:00+00:00,19.316666666666666,12.6,
2025-03-07 17:42:30+00:00,19.360000000000003,12.6,
2025-03-07 17:43:00+00:00,19.400000000000002,12.6,
2025-03-07 17:43:30+00:00,19.400000000000002,12.6,
2025-03-07 17:44:00+00:00,19.400000000000002,12.6,
2025-03-07 17:44:30+00:00,19.400000000000002,12.6,
2025-03-07 17:45:00+00:00,19.400000000000002,12.6,
2025-03-07 17:45:30+00:00,19.400000000000002,12.6,
2025-03-07 17:46:00+00:00,19.4,12.6,
2025-03-07 17:46:30+00:00,19.400000000000002,12.583333333333334,
2025-03-07 17:47:00+00:00,19.416666666666668,12.583333333333334,
2025-03-07 17:47:30+00:00,19.466666666666665,12.550000000000002,
2025-03-07 17:48:00+00:00,19.5,12.516666666666666,
2025-03-07 17:48:30+00:00,19.5,12.5,
2025-03-07 17:49:00+00:00,19.5,12.516666666666666,
2025-03-07 17:49:30+00:00,19.5,12.5,
2025-03-07 17:50:00+00:00,19.5,12.5,
2025-03-07 17:50:30+00:00,19.5,12.5,
2025-03-07 17:51:00+00:00,19.5,12.5,
2025-03-07 17:51:30+00:00,19.5,12.433333333333332,
2025-03-07 17:52:00+00:00,19.5,12.433333333333332,
2025-03-07 17:52:30+00:00,19.5,12.433333333333332,
2025-03-07 17:53:00+00:00,19.5,12.416666666666666,
2025-03-07 17:53:30+00:00,19.5,12.4,
2025-03-07 17:54:00+00:00,19.53333333333333,12.4,
2025-03-07 17:54:30+00:00,19.599999999999998,12.4,
2025-03-07 17:55:00+00:00,19.599999999999998,12.4,
2025-03-07 17:55:30+00:00,19.599999999999998,12.4,
2025-03-07 17:56:00+00:00,19.599999999999998,12.4,
2025-03-07 17:56:30+00:00,19.599999999999998,12.383333333333333,
2025-03-07 17:57:00+00:00,19.599999999999998,12.366666666666667,
2025-03-07 17:57:30+00:00,19.6,12.34,20.416354432076737
2025-03-07 17:58:00+00:00,19.599999999999998,12.299999999999999,20.460635403484527
2025-03-07 17:58:30+00:00,19.616666666666664,12.299999999999999,20.49733115275979
2025-03-07 17:59:00+00:00,19.633333333333336,12.299999999999999,20.5179537753941
2025-03-07 17:59:30+00:00,19.7,12.316666666666665,20.5208686456987
2025-03-07 18:00:00+00:00,19.7,12.299999999999999,20.45227076495511
2025-03-07 18:00:30+00:00,19.7,12.299999999999999,20.199973616148924
2025-03-07 18:01:00+00:00,19.7,12.299999999999999,20.325931089864127
2025-03-07 18:01:30+00:00,19.7,12.3,20.463636363636404
2025-03-07 18:02:00+00:00,19.7,12.233333333333334,20.41101534196026
2025-03-07 18:02:30+00:00,19.7,12.266666666666666,20.391131937721553
2025-03-07 18:03:00+00:00,19.716666666666665,12.200000000000001,20.376699283942028
2025-03-07 18:03:30+00:00,19.716666666666665,12.200000000000001,20.2538461538462
2025-03-07 18:04:00+00:00,19.733333333333334,12.200000000000001,20.211084313391257
2025-03-07 18:04:30+00:00,19.78333333333333,12.216666666666669,20.171427091393884
